date_label,rank,symbol,name,coin_id
2022-01-01_t100,57,IMX,Immutable,immutable-x
2022-01-01_t100,58,OP,Optimism,optimism
2022-01-01_t100,59,FTM,Fantom,fantom
2022-01-01_t100,60,ATOM,Cosmos Hub,cosmos
2022-01-01_t100,61,BGB,Bitget Token,bitget-token
2022-01-01_t100,62,RUNE,THORChain,thorchain
2022-01-01_t100,63,WETH,Binance-Peg WETH,binance-peg-weth
2022-01-01_t100,64,SEI,Sei,sei-network
2022-01-01_t100,65,POPCAT,Popcat,popcat
2022-01-01_t100,66,GRT,The Graph,the-graph
2022-01-01_t100,67,RETH,Rocket Pool ETH,rocket-pool-eth
2022-01-01_t100,68,ENA,Ethena,ethena
2022-01-01_t100,69,PNUT,Peanut the Squirrel,peanut-the-squirrel
2022-01-01_t100,70,JUP,Jupiter,jupiter-exchange-solana
2022-01-01_t100,71,METH,Mantle Staked Ether,mantle-staked-ether
2022-01-01_t100,72,PYTH,Pyth Network,pyth-network
2022-01-01_t100,73,WLD,Worldcoin,worldcoin-wld
2022-01-01_t100,74,EZETH,Renzo Restaked ETH,renzo-restaked-eth
2022-01-01_t100,75,SOLVBTC,Solv Protocol SolvBTC,solv-btc
2022-01-01_t100,76,THETA,Theta Network,theta-token
2022-01-01_t100,77,MKR,Maker,maker
2022-01-01_t100,78,CBBTC,Coinbase Wrapped BTC,coinbase-wrapped-btc
2022-01-01_t100,79,KCS,KuCoin,kucoin-shares
2022-01-01_t100,80,ONDO,Ondo,ondo-finance
2022-01-01_t100,81,RAY,Raydium,raydium
2022-01-01_t100,82,BRETT,Brett,based-brett
2022-01-01_t100,83,OM,MANTRA,mantra-dao
